  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
   7.389839    0.194709    4.169860     30.0000     24.850000   9.4172342E+03
   7.629157    0.195513    4.163395     30.0000     24.850000   9.9427918E+03
   7.892406    0.196416    4.157615     30.0000     24.850000   1.0161221E+04
   8.181979    0.197446    4.153164     30.0000     24.850000   9.9217595E+03
   8.500511    0.198644    4.150010     30.0000     24.850000   9.3090598E+03
   8.850895    0.200071    4.147687     30.0000     24.850000   8.6348409E+03
   9.236318    0.201797    4.145632     30.0000     24.850000   8.1971364E+03
   9.660283    0.203879    4.143311     30.0000     24.850000   8.1120246E+03
  10.000000    0.205646    4.141110     30.0000     24.850000   8.2572534E+03
  10.000000    0.200038    4.169857      0.0000     24.850000   2.4184454E+02
  10.000000    0.200038    4.169857      0.0000     24.850000   2.4184454E+02
  10.000333    0.199746    4.170021      0.0000     24.850000   2.2909725E+02
  10.000700    0.199563    4.170124      0.0000     24.850000   2.2127940E+02
  10.001103    0.199416    4.170207      0.0000     24.850000   2.1514127E+02
  10.001547    0.199286    4.170281      0.0000     24.850000   2.0982207E+02
  10.002035    0.199166    4.170350      0.0000     24.850000   2.0497335E+02
  10.002572    0.199051    4.170417      0.0000     24.850000   2.0042273E+02
  10.003162    0.198939    4.170482      0.0000     24.850000   1.9607014E+02
  10.003812    0.198828    4.170547      0.0000     24.850000   1.9185423E+02
  10.004526    0.198718    4.170612      0.0000     24.850000   1.8773326E+02
  10.005312    0.198607    4.170679      0.0000     24.850000   1.8367935E+02
  10.006177    0.198496    4.170746      0.0000     24.850000   1.7967198E+02
  10.007128    0.198383    4.170815      0.0000     24.850000   1.7569730E+02
  10.008174    0.198268    4.170886      0.0000     24.850000   1.7174481E+02
  10.009325    0.198151    4.170958      0.0000     24.850000   1.6780794E+02
  10.010591    0.198032    4.171033      0.0000     24.850000   1.6388189E+02
  10.011983    0.197909    4.171111      0.0000     24.850000   1.5996451E+02
  10.013515    0.197784    4.171191      0.0000     24.850000   1.5605468E+02
  10.015200    0.197655    4.171275      0.0000     24.850000   1.5215329E+02
  10.017053    0.197522    4.171361      0.0000     24.850000   1.4826187E+02
  10.019092    0.197386    4.171451      0.0000     24.850000   1.4438355E+02
  10.021334    0.197246    4.171545      0.0000     24.850000   1.4052189E+02
  10.023801    0.197101    4.171642      0.0000     24.850000   1.3668182E+02
  10.026514    0.196951    4.171743      0.0000     24.850000   1.3286852E+02
  10.029499    0.196797    4.171849      0.0000     24.850000   1.2908835E+02
  10.032782    0.196638    4.171959      0.0000     24.850000   1.2534777E+02
  10.036394    0.196473    4.172074      0.0000     24.850000   1.2165425E+02
  10.040367    0.196303    4.172194      0.0000     24.850000   1.1801522E+02
  10.044737    0.196127    4.172318      0.0000     24.850000   1.1443886E+02
  10.049544    0.195944    4.172448      0.0000     24.850000   1.1093313E+02
  10.054831    0.195756    4.172584      0.0000     24.850000   1.0750649E+02
  10.060648    0.195560    4.172725      0.0000     24.850000   1.0416688E+02
  10.067046    0.195358    4.172872      0.0000     24.850000   1.0092242E+02
  10.074084    0.195148    4.173025      0.0000     24.850000   9.7780391E+01
  10.081826    0.194930    4.173185      0.0000     24.850000   9.4747820E+01
  10.090341    0.194705    4.173350      0.0000     24.850000   9.1830497E+01
  10.099709    0.194471    4.173522      0.0000     24.850000   8.9033504E+01
  10.110013    0.194228    4.173701      0.0000     24.850000   8.6360252E+01
  10.121348    0.193976    4.173886      0.0000     24.850000   8.3812988E+01
  10.133816    0.193714    4.174078      0.0000     24.850000   8.1391897E+01
  10.147531    0.193443    4.174277      0.0000     24.850000   7.9095650E+01
  10.162617    0.193161    4.174482      0.0000     24.850000   7.6920611E+01
  10.179212    0.192870    4.174694      0.0000     24.850000   7.4861463E+01
  10.197467    0.192567    4.174912      0.0000     24.850000   7.2910559E+01
  10.217547    0.192254    4.175135      0.0000     24.850000   7.1058608E+01
  10.239635    0.191931    4.175365      0.0000     24.850000   6.9294137E+01
  10.263932    0.191598    4.175599      0.0000     24.850000   6.7604208E+01
  10.290658    0.191254    4.175839      0.0000     24.850000   6.5973941E+01
  10.320057    0.190902    4.176081      0.0000     24.850000   6.4387240E+01
  10.352397    0.190541    4.176327      0.0000     24.850000   6.2826409E+01
  10.387970    0.190173    4.176575      0.0000     24.850000   6.1272960E+01
  10.427100    0.189799    4.176824      0.0000     24.850000   5.9707443E+01
  10.470143    0.189421    4.177073      0.0000     24.850000   5.8110467E+01
